epoch,lr,train_total_loss,val_total_loss,best_val_loss,best_epoch,train_roi_classifier_loss,train_roi_box_loss,train_roi_mask_loss,train_rpn_objectness_loss,train_rpn_box_loss,val_roi_classifier_loss,val_roi_box_loss,val_roi_mask_loss,val_rpn_objectness_loss,val_rpn_box_loss,is_best,epoch_time_sec
11,9.712129600015648e-05,0.8712123349424481,0.8861390311142494,0.8861390311142494,11,0.3156661377998324,0.1398481221292625,0.3413380917922163,0.014922162653647908,0.059437821134750414,0.3454950901968726,0.1393989827355434,0.3335264325141907,0.011904728743006828,0.055813798154222556,1,815.9456648826599
12,9.609562082918508e-05,0.8210361992858485,0.9283947352705331,0.8861390311142494,11,0.2923061801240965,0.13219358935682657,0.32694144088784544,0.011305016823661501,0.058289971384454464,0.3630619115870574,0.1483943980829469,0.3464472639149633,0.012128899730581405,0.058362262153291496,0,822.8671708106995
13,9.492122222022224e-05,0.8280809249642284,0.869336512170989,0.869336512170989,13,0.2907130856798524,0.13275092316476161,0.33368492332462807,0.012852963429541165,0.058079028707563166,0.33922430271732396,0.1302570007227618,0.33673301811875966,0.0088296997296656,0.054292487300097426,1,810.959657907486
14,9.360193081742898e-05,0.780064880732418,0.9089979488274147,0.869336512170989,13,0.2697007645893775,0.12349625767114782,0.3216692888652015,0.009637490773306695,0.055561077174240574,0.3654215178613005,0.1462470217254655,0.32899294824435793,0.009578096911568065,0.058758365799640784,0,821.6804904937744
15,9.214204987514347e-05,0.7955172892650276,0.887026243785332,0.869336512170989,13,0.27140867562353305,0.1249148890626369,0.33232474523459293,0.01041608144474754,0.056452897204794905,0.3486412618694634,0.12924406311378397,0.34460059219393235,0.009250677436397507,0.0552896486145669,0,806.6966087818146
16,9.05463412215599e-05,0.7623252687297126,0.8550582501394995,0.8550582501394995,16,0.2573431158313186,0.11861843564872478,0.323582136873589,0.008596308669387466,0.05418527190160194,0.3395684504303439,0.12721874474965292,0.3273623189021801,0.008198481229543364,0.052710251033241895,1,797.9039731025696
17,8.882000972663458e-05,0.7597400214551955,0.8568199079612205,0.8550582501394995,16,0.2483909998524655,0.11976970627588684,0.3289057925073983,0.008760374947007354,0.05391314816983051,0.32952757616495265,0.13175767064094543,0.3307851156284069,0.008253853150908354,0.05649569258093834,0,803.6658065319061
18,8.696868632488204e-05,0.7303185206513072,0.8818689029792259,0.8550582501394995,16,0.23993068408865953,0.11417966097646251,0.3167891213309395,0.006839363577197002,0.0525796916087649,0.3391778045173349,0.13061807977742163,0.33994906236385475,0.017198841991796207,0.054925117638475934,0,808.7740080356598
19,8.499840964843704e-05,0.7218093538815661,0.8521453639556622,0.8521453639556622,19,0.23055442802497314,0.11399311152436031,0.3170734158782072,0.007343118413592617,0.05284528055986948,0.31429270983769975,0.13380285784088333,0.34078688857884243,0.008700999305262391,0.05456191030941133,1,803.7100944519043
20,8.291560633029163e-05,0.6951515560618359,0.9292023942388338,0.8521453639556622,19,0.220994305698254,0.10972568429629734,0.3053948754680557,0.006837368612229937,0.05219932134174176,0.3712783424504872,0.12952590081840754,0.3575146275347677,0.014949737328048475,0.05593378307972232,0,814.4221935272217
21,8.07270700419542e-05,0.7060275245313496,0.8123535012376719,0.8123535012376719,21,0.22296143535437973,0.10796653586427755,0.31648761434456485,0.007040312093033692,0.05157162773889761,0.3215433830331112,0.11889924103843755,0.31451622566272475,0.005765453260793383,0.051629199016967726,1,818.3385977745056
